acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
9;151;271;395;80317;-16767;45;352;;0
852;731;868;652;121018;-5,872E+15;413;522;;0
936;273;145;4,27E+15;73695;-16471;411;0,000254;;0
213;662;413;467;93005;-7357;299;0;800;1
622;525;584;521;87446;-7676;26;217;;0
881;542;4,97E+15;418;1,70039E+16;-1,2096E+16;403;32;;0
5,53E+15;677;635;5,54E+15;92181;-6608;864;751;;0
916;436;382;514;125836;-24261;462;0;;0
54;5;8,17E+15;599;9001;-3,501E+16;459;0;640;1
529;767;504;6,89E+15;1,40057E+16;-9056;319;0;;0
114;653;73;894;108705;-10613;43;0,00103;750;1
899;145;786;379;87113;-4,1391E+15;445;296;;0
416;711;893;87;13317;-8782;439;385;;0
5,53E+15;466;3,72E+15;721;123401;-10442;426;137;;0
102;3;8,59E+15;489;1,64564E+16;-11002;563;289;;0
226;337;759;4,97E+15;82085;-7659;366;0;0;0
779;611;108;3,33E+15;14579;-16242;439;1,52E+13;;0
471;723;415;581;15965;-10394;395;0;630;1
7,91E+15;408;39;325;108704;-4708;343;0;;0
429;303;897;56;176695;-669;141;274;;0
738;653;238;422;129905;-1,6319E+16;514;43;;0
7,76E+15;601;161;351;68805;-27911;503;7,29E+15;;0
759;6,56E+15;65;931;114625;-8645;491;568;;0
563;542;598;3,43E+15;135191;-9561;171;925;;0
312;475;942;289;155981;-7775;694;46;;0
17;409;91;3,38E+15;8,8386E+15;-518;704;0;0;0
371;708;477;272;117069;-834;502;0,00892;;0
682;546;7,02E+15;649;93984;-4607;414;0,000277;190;0
994;16;1,17E+15;318;8013;-2,4758E+15;417;6,68E+13;0;0
953;6,68E+15;173;6,63E+15;90197;-14134;288;0,00352;;0
718;473;908;546;15803;-414;618;0,000219;;0
989;413;953;1,37E+15;75562;-21882;394;877;0;0
1,89E+15;561;6,81E+15;8,32E+15;136475;-6,764E+15;317;0,000679;;0
195;7;5,87E+15;716;178033;-10651;512;0,000408;;0
832;578;901;703;126988;-6235;503;927;;0
344;765;6,71E+15;7,98E+15;845;-5249;278;0;720;1
575;212;23;162;1,82839E+16;-18705;334;116;;0
21;5,67E+15;828;845;170055;-4513;819;0;790;1
431;51;7,91E+15;757;142555;-7186;372;136;;0
626;5,58E+15;584;851;110773;-11305;358;161;;0
121;579;654;616;129537;-12421;553;0,000362;760;1
931;684;48;935;121341;-12047;519;902;;0
318;6,56E+15;934;424;174049;-1827;332;658;;0
3;585;6,86E+15;258;145047;-932;284;725;;0
158;779;6,66E+15;385;144951;-4999;26;36;;0
3,28E+15;523;7,07E+15;698;80211;-7686;17;0;;0
995;405;195;72;159394;-23019;464;6,68E+15;0;0
469;225;6,89E+15;5;93798;-912;555;813;650;1
993;2,34E+15;396;552;160567;-2,3898E+16;424;139;;0
345;52;856;322;9401;-7218;329;921;;0
974;547;809;216;172301;-6723;325;0;;0
391;481;6,58E+15;5,43E+15;7761;-5456;318;0;;0
966;649;153;6,81E+15;113976;-9708;327;0;;0
114;3,93E+15;475;14;145088;-7499;311;8,03E+15;;0
687;2,34E+15;895;5,53E+15;7496;-9287;503;901;0;0
964;3,28E+15;851;85;95368;-26621;466;966;;0
585;373;7,98E+15;654;91395;-5909;5,8E+14;417;0;0
934;3,23E+15;118;346;110866;-32436;433;478;0;0
711;541;981;242;8,8983E+15;-3622;325;0;;0
976;318;401;452;96098;-4319;408;957;;0
933;243;306;603;147016;-30813;366;95;;0
4,43E+15;687;352;251;140359;-16799;37;0,00129;;0
