acousticness,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,track_popularity,is_hit
0.206,0.85,0.789,0.853,90.997,-6.49,0.129,0.0112,54.0,1
0.0759,0.612,0.884,0.679,178.043,-4.113,0.0454,0.00132,71.0,1
0.00762,0.215,0.637,0.135,152.911,-6.215,0.0341,3.88e-05,51.0,1
0.0484,0.575,0.568,0.37,93.986,-5.509,0.03,0.000417,86.0,1
0.8420000000000001,0.406,0.384,0.298,71.898,-8.307,0.0335,2.09e-06,,0
0.283,0.4629999999999999,0.551,0.653,163.83700000000005,-7.324,0.027,1.47e-05,70.0,1
0.0143,0.628,0.643,0.28,108.007,-12.561,0.0784,6.22e-06,,0
0.212,0.631,0.748,0.351,115.665,-2.569,0.0488,0.0,67.0,1
0.8059999999999999,0.536,0.3670000000000001,0.228,105.023,-9.733,0.0249,0.0207,0.0,0
0.877,0.507,0.236,0.21,86.009,-12.367,0.0254,2.23e-06,0.0,0
0.0224,0.759,0.636,0.536,109.976,-5.585,0.0369,0.000143,75.0,1
3.19e-06,0.3329999999999999,0.959,0.242,137.05200000000002,-4.348,0.072,0.0563,62.0,1
0.177,0.748,0.688,0.82,101.244,-4.852,0.0241,0.000144,,0
0.918,0.491,0.016,0.259,135.985,-14.977,0.0411,0.0,0.0,0
0.0276,0.754,0.828,0.728,108.992,-4.4430000000000005,0.0355,0.0266,51.0,1
0.467,0.322,0.175,0.0373,110.397,-14.1,0.0396,0.000599,,0
0.366,0.7879999999999999,0.7340000000000001,0.878,105.892,-6.053,0.0691,2.25e-06,,0
0.00658,0.49,0.767,0.395,82.036,-5.51,0.0398,0.000154,,0
0.873,0.512,0.27,0.152,133.24,-11.069,0.0294,2.68e-06,5.0,0
0.6759999999999999,0.551,0.402,0.382,103.313,-7.431,0.0262,0.0,80.0,1
0.0455,0.47,0.74,0.562,84.84100000000002,-6.093,0.07,0.0,56.0,1
0.401,0.412,0.316,0.0839,98.197,-10.297,0.0279999999999999,0.179,51.0,1
0.00665,0.38,0.905,0.207,140.055,-5.885,0.0595,0.00509,0.0,0
0.835,0.74,0.1989999999999999,0.486,75.013,-8.575,0.0366,2.05e-06,60.0,1
0.326,0.591,0.599,0.856,90.537,-7.166,0.0447,2.01e-06,,0
0.174,0.5579999999999999,0.851,0.85,191.96400000000003,-4.561,0.106,0.0,56.0,1
0.0551,0.757,0.7929999999999999,0.815,119.986,-6.4860000000000015,0.046,4.94e-05,,0
0.177,0.68,0.413,0.3829999999999999,158.576,-9.41,0.4920000000000001,0.0,65.0,1
0.988,0.434,0.0229,0.132,80.408,-21.711,0.0358,0.195,,0
0.00263,0.5,0.918,0.311,119.91,-3.3160000000000003,0.0606,0.0963,,0
0.184,0.614,0.8140000000000001,0.293,119.947,-5.591,0.0636,0.0,,0
0.779,0.7040000000000001,0.034,0.846,85.20100000000002,-26.574,0.0346,8.52e-05,,0
3.69e-05,0.358,0.804,0.496,88.083,-3.44,0.0434,0.0407,,0
0.00592,0.705,0.911,0.8029999999999999,113.032,-4.873,0.0717,0.00154,67.0,1
0.95,0.252,0.0906,0.0644,93.144,-17.88,0.0316,3.84e-05,9.0,0
0.284,0.778,0.8240000000000001,0.7559999999999999,100.024,-5.892,0.0712,0.0,84.0,1
0.000266,0.5670000000000001,0.955,0.6629999999999999,99.943,-3.621,0.0409999999999999,0.000342,,0
0.0072599999999999,0.476,0.626,0.449,119.995,-7.221,0.0305,2.8000000000000013e-05,,0
0.155,0.825,0.685,0.304,102.03,-5.21,0.0776,0.00977,52.0,1
0.102,0.8029999999999999,0.603,0.1969999999999999,139.977,-8.089,0.244,0.0,,0
0.0555,0.746,0.978,0.653,153.809,-5.324,0.0978,4.11e-05,66.0,1
0.908,0.657,0.258,0.318,127.725,-12.613,0.0311,2.79e-06,51.0,1
0.108,0.621,0.485,0.14,183.391,-13.429,0.2189999999999999,0.13,50.0,1
0.000859,0.396,0.5539999999999999,0.11,80.859,-6.49,0.0282,6.07e-05,,0
0.858,0.439,0.3229999999999999,0.358,116.743,-6.763999999999999,0.0323,0.00921,60.0,1
0.00778,0.5589999999999999,0.85,0.246,112.965,-6.5829999999999975,0.0648,0.0003129999999999,,0
0.435,0.574,0.879,0.947,89.51100000000002,-1.7180000000000002,0.0433,2.17e-06,5.0,0
0.5820000000000001,0.555,0.684,0.616,114.374,-7.691,0.0519,3.45e-06,,0
